name,rating,price,capacity,price/gb,type,cache,form factor,interface,link
Lexar NM790 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$103.29,1 TB,$0.103,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0C4ZV5Y7X?tag=bgfg-pc-builder-us-20
Western Digital Black SN770 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$49.99,500 GB,$0.100,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09QVPCJN2?tag=bgfg-pc-builder-us-20
"Crucial BX500 1 TB 2.5"" Solid State Drive",4.6,$67.98,1 TB,$0.068,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B07YD579WM?tag=bgfg-pc-builder-us-20
"TEAMGROUP EX2 16 TB 2.5"" Solid State Drive",,$1699.99,16 TB,$0.106,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B0C3M4JPG4?tag=bgfg-pc-builder-us-20
Kingston KC3000 1.024 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,$106.23,1.024 TB,$0.104,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09K7F5VJQ?tag=bgfg-pc-builder-us-20
Crucial P3 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,$43.99,500 GB,$0.088,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B0B25LQQPC?tag=bgfg-pc-builder-us-20
Corsair MP700 PRO 2 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,$299.99,2 TB,$0.150,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/dp/B0CM42DVBR?tag=bgfg-pc-builder-us-20
"Silicon Power A55 1 TB 2.5"" Solid State Drive",4.7,$56.99,1 TB,$0.057,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B07B4G19X3?tag=bgfg-pc-builder-us-20
Kingston Fury Renegade 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$118.99,1 TB,$0.110,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09K3H2YHX?tag=bgfg-pc-builder-us-20
Corsair MP600 CORE XT 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$59.84,1 TB,$0.055,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0BZ5TKCWX?tag=bgfg-pc-builder-us-20
Silicon Power A60 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,$124.99,2 TB,$0.062,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B07ZQ97H3W?tag=bgfg-pc-builder-us-20
MSI SPATIUM M450 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$100.86,1 TB,$0.101,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=MSI+SPATIUM+M450+1+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Seagate BarraCuda 1 TB 3.5"" 7200 RPM Internal Hard Drive",4.6,$31.49,1 TB,$0.031,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B005T3GRNW?tag=bgfg-pc-builder-us-20
Crucial T705 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,$239.99,1 TB,$0.240,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=Crucial+T705+1+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Patriot P400 Lite 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$89.99,2 TB,$0.045,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0BTDRJZBX?tag=bgfg-pc-builder-us-20
VisionTek QLC 8 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,,$1499.99,8 TB,$0.187,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/s?k=VisionTek+QLC+8+TB+M.2-2280+PCIe+3.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Patriot P400 Lite 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$54.99,1 TB,$0.055,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0BTDP6P7Y?tag=bgfg-pc-builder-us-20
Crucial T705 W/Heatsink 4 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,$729.99,4 TB,$0.182,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=Crucial+T705+W%2FHeatsink+4+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Seagate IronWolf Pro 4 TB 3.5"" 7200 RPM Internal Hard Drive",5.0,$119.99,4 TB,$0.025,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B07SY4T6F5?tag=bgfg-pc-builder-us-20
