name,rating,price,socket/cpu,form factor,memory max,memory slots,link
Asus ROG MAXIMUS Z790 APEX ATX LGA1700 Motherboard,,$699.99,LGA1700,ATX,64 GB,2,https://www.amazon.com/s?k=Asus+ROG+MAXIMUS+Z790+APEX+ATX+LGA1700+Motherboard&tag=bgfg-pc-builder-us-20
Gigabyte GA-Z170X-Gaming 5 ATX LGA1151 Motherboard,4.8,,LGA1151,ATX,64 GB,4,https://www.amazon.com/s?k=Gigabyte+GA-Z170X-Gaming+5+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
Asus TUF B360-Plus Gaming ATX LGA1151 Motherboard,,,LGA1151,ATX,64 GB,4,https://www.amazon.com/s?k=Asus+TUF+B360-Plus+Gaming+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
Asus TUF Z390-PRO GAMING ATX LGA1151 Motherboard,5.0,,LGA1151,ATX,128 GB,4,https://www.amazon.com/s?k=Asus+TUF+Z390-PRO+GAMING+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
MSI MAG B560 TORPEDO ATX LGA1200 Motherboard,4.5,$169.99,LGA1200,ATX,128 GB,4,https://www.amazon.com/dp/B08WCMNJ6J?tag=bgfg-pc-builder-us-20
ASRock Z890 Pro RS WiFi ATX LGA1851 Motherboard,,$216.00,LGA1851,ATX,256 GB,4,https://www.amazon.com/dp/B0DJQ31RNB?tag=bgfg-pc-builder-us-20
Gigabyte GA-AX370-Gaming K5 ATX AM4 Motherboard,4.4,,AM4,ATX,64 GB,4,https://www.amazon.com/s?k=Gigabyte+GA-AX370-Gaming+K5+ATX+AM4+Motherboard&tag=bgfg-pc-builder-us-20
Gigabyte Z590 GAMING X ATX LGA1200 Motherboard,,,LGA1200,ATX,128 GB,4,https://www.amazon.com/s?k=Gigabyte+Z590+GAMING+X+ATX+LGA1200+Motherboard&tag=bgfg-pc-builder-us-20
Asus MAXIMUS VIII RANGER ATX LGA1151 Motherboard,4.8,,LGA1151,ATX,64 GB,4,https://www.amazon.com/s?k=Asus+MAXIMUS+VIII+RANGER+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
MSI Z370 PC PRO ATX LGA1151 Motherboard,4.0,,LGA1151,ATX,64 GB,4,https://www.amazon.com/s?k=MSI+Z370+PC+PRO+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
ASRock Z390M-ITX/ac Mini ITX LGA1151 Motherboard,5.0,,LGA1151,Mini ITX,64 GB,2,https://www.amazon.com/s?k=ASRock+Z390M-ITX%2Fac+Mini+ITX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
ASRock Z590M Pro4 Micro ATX LGA1200 Motherboard,5.0,$153.38,LGA1200,Micro ATX,128 GB,4,https://www.amazon.com/dp/B08X15BQC5?tag=bgfg-pc-builder-us-20
ASRock Z890 Riptide WiFi ATX LGA1851 Motherboard,,$295.27,LGA1851,ATX,256 GB,4,https://www.amazon.com/dp/B0DJPY6CZX?tag=bgfg-pc-builder-us-20
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0) ATX LGA1151 Motherboard,4.8,,LGA1151,ATX,64 GB,4,https://www.amazon.com/s?k=Gigabyte+Z370+AORUS+GAMING+WIFI+%28rev.+1.0%29+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
MSI Z270 GAMING PLUS ATX LGA1151 Motherboard,4.4,,LGA1151,ATX,64 GB,4,https://www.amazon.com/s?k=MSI+Z270+GAMING+PLUS+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
ASRock Z790-C ATX LGA1700 Motherboard,,,LGA1700,ATX,128 GB,4,https://www.amazon.com/s?k=ASRock+Z790-C+ATX+LGA1700+Motherboard&tag=bgfg-pc-builder-us-20
MSI B860M GAMING PLUS WIFI Micro ATX LGA1851 Motherboard,,,LGA1851,Micro ATX,256 GB,4,https://www.amazon.com/s?k=MSI+B860M+GAMING+PLUS+WIFI+Micro+ATX+LGA1851+Motherboard&tag=bgfg-pc-builder-us-20
Biostar B650MT Micro ATX AM5 Motherboard,,,AM5,Micro ATX,96 GB,2,https://www.amazon.com/s?k=Biostar+B650MT+Micro+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Biostar B450MX-S Micro ATX AM4 Motherboard,,,AM4,Micro ATX,128 GB,4,https://www.amazon.com/s?k=Biostar+B450MX-S+Micro+ATX+AM4+Motherboard&tag=bgfg-pc-builder-us-20
