name,rating,price,fan rpm,noise level,color,link
Jonsbo CR-1400 V2 ARGB 38.2 CFM CPU Cooler,,,800 - 2200 RPM,22.3 - 33.8 dB,White,https://www.amazon.com/s?k=Jonsbo+CR-1400+V2+ARGB+38.2+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Deepcool GAMMAXX 400 74.34 CFM CPU Cooler,4.2,,900 - 1500 RPM,21.4 - 32.1 dB,N/A,https://www.amazon.com/s?k=Deepcool+GAMMAXX+400+74.34+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Asus TUF Gaming LC 240 ARGB 67 CFM Liquid CPU Cooler,,$119.99,800 - 2000 RPM,N/A,Black,https://www.amazon.com/s?k=Asus+TUF+Gaming+LC+240+ARGB+67+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Asus TUF Gaming LC 240 RGB 67 CFM Liquid CPU Cooler,,$109.99,800 - 2000 RPM,N/A,Black,https://www.amazon.com/s?k=Asus+TUF+Gaming+LC+240+RGB+67+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright Peerless Assassin 120 SE ARGB 66.17 CFM CPU Cooler,,$41.90,1550 RPM,25.6 dB,White,https://www.amazon.com/dp/B09SCPVK13?tag=bgfg-pc-builder-us-20
Thermalright Frozen Notte ARGB 72.37 CFM Liquid CPU Cooler,,$69.90,2000 RPM,27.7 dB,Black,https://www.amazon.com/dp/B0BKK78R71?tag=bgfg-pc-builder-us-20
Lian Li HydroShift LCD 360TL RGB 79.9 CFM Liquid CPU Cooler,,$259.89,200 - 2600 RPM,33 dB,White,https://www.amazon.com/dp/B0D83N4B4V?tag=bgfg-pc-builder-us-20
Akasa Nero 3 50.54 CFM CPU Cooler,,,500 - 1500 RPM,24.6 dB,N/A,https://www.amazon.com/s?k=Akasa+Nero+3+50.54+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake NiC L31 70.98 CFM Sleeve Bearing CPU Cooler,4.0,,500 - 1800 RPM,18 - 34.79 dB,N/A,https://www.amazon.com/s?k=Thermaltake+NiC+L31+70.98+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake NiC L32 104.4 CFM Sleeve Bearing CPU Cooler,,,500 - 1800 RPM,18 - 38.4 dB,N/A,https://www.amazon.com/s?k=Thermaltake+NiC+L32+104.4+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake CLP0604 121 CFM Sleeve Bearing CPU Cooler,,,1200 - 2100 RPM,21 - 48 dB,N/A,https://www.amazon.com/s?k=Thermaltake+CLP0604+121+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Zalman CNPS7000-AlCu Ball Bearing CPU Cooler,2.5,,1350 - 2400 RPM,17 - 24 dB,N/A,https://www.amazon.com/s?k=Zalman+CNPS7000-AlCu+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright Venomous X RT Rev.SB-E 53.3 CFM CPU Cooler,,,700 - 1500 RPM,17 - 28.5 dB,N/A,https://www.amazon.com/s?k=Thermalright+Venomous+X+RT+Rev.SB-E+53.3+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
RAIJINTEK ZELOS 41 CFM Fluid Dynamic Bearing CPU Cooler,,,800 - 1400 RPM,20 dB,N/A,https://www.amazon.com/s?k=RAIJINTEK+ZELOS+41+CFM+Fluid+Dynamic+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
RAIJINTEK PALLAS Red 56.55 CFM Sleeve Bearing CPU Cooler,4.0,$34.99,650 - 1400 RPM,28 dB,N/A,https://www.amazon.com/s?k=RAIJINTEK+PALLAS+Red+56.55+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
RAIJINTEK AIDOS BLACK 48.6 CFM Sleeve Bearing CPU Cooler,4.2,,1000 - 2200 RPM,28.87 dB,N/A,https://www.amazon.com/s?k=RAIJINTEK+AIDOS+BLACK+48.6+CFM+Sleeve+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
RAIJINTEK AIDOS 48.6 CFM Sleeve Bearing CPU Cooler,4.5,$76.99,1000 - 2200 RPM,28.87 dB,N/A,https://www.amazon.com/dp/B00GOVA3XI?tag=bgfg-pc-builder-us-20
Zalman Reserator 3 MAX Dual Liquid CPU Cooler,,,1000 - 2300 RPM,23.2 - 46.6 dB,N/A,https://www.amazon.com/s?k=Zalman+Reserator+3+MAX+Dual+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermaltake Gravity A1 31.78 CFM CPU Cooler,,,1800 RPM,22.3 dB,N/A,https://www.amazon.com/s?k=Thermaltake+Gravity+A1+31.78+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Gelid Solutions SnowStorm 66.3 CFM Fluid Dynamic Bearing CPU Cooler,,$44.99,900 - 2200 RPM,10 - 24.1 dB,N/A,https://www.amazon.com/dp/B00PVY7TUE?tag=bgfg-pc-builder-us-20
Prolimatech Basic 65 Ball Bearing CPU Cooler,,,600 - 1600 RPM,N/A,N/A,https://www.amazon.com/s?k=Prolimatech+Basic+65+Ball+Bearing+CPU+Cooler&tag=bgfg-pc-builder-us-20
